customer_id,purchase_date,product,price_usd,rating,age_group,gender,region,purchase_channel,review,year,month,month_name,revenue,rating_label,sentiment,sentiment_score
CUST1000,2023-10-09,Beats Flex,49.99,2,25-34,Male,Europe,Online,Battery drains faster than advertised. Expected better performance.,2023,10,October,49.99,Negative,Positive,0.4404
CUST1001,2024-08-27,Beats Flex,49.99,5,45-54,Male,North America,Online,Best purchase I've made this year. Bass is deep and clear.,2024,8,August,49.99,Positive,Positive,0.7783
CUST1002,2023-01-28,Beats Fit Pro,199.99,3,55+,Male,Middle East,Third-Party Retailer,Average noise cancellation. Works fine in mild environments.,2023,1,January,199.99,Neutral,Positive,0.2023
CUST1003,2023-01-07,Beats Fit Pro,199.99,4,25-34,Non-Binary,Latin America,Apple Store,The fit is perfect and they're super comfortable for long sessions.,2023,1,January,199.99,Positive,Positive,0.9246
CUST1004,2023-04-15,Powerbeats Pro,249.99,3,18-24,Female,North America,Apple Store,Build quality feels okay. The case could be better designed.,2023,4,April,249.99,Neutral,Positive,0.5859
CUST1005,2024-04-15,Powerbeats Pro,249.99,4,55+,Male,Latin America,Online,Absolutely love these headphones! The sound quality is incredible.,2024,4,April,249.99,Positive,Positive,0.6989
CUST1006,2024-08-14,Beats Studio Buds+,169.99,4,25-34,Non-Binary,North America,Online,Incredible sound stage. Music feels alive with these on.,2024,8,August,169.99,Positive,Positive,0.3818
CUST1007,2023-03-23,Beats Flex,49.99,3,25-34,Male,Latin America,Apple Store,Build quality feels okay. The case could be better designed.,2023,3,March,49.99,Neutral,Positive,0.5859
CUST1008,2023-06-16,Beats Solo 4,199.99,5,35-44,Female,Europe,Apple Store,Incredible sound stage. Music feels alive with these on.,2023,6,June,199.99,Positive,Positive,0.3818
CUST1009,2024-09-15,Beats Flex,49.99,5,25-34,Non-Binary,Europe,In-Store,Best purchase I've made this year. Bass is deep and clear.,2024,9,September,49.99,Positive,Positive,0.7783
CUST1010,2024-12-02,Beats Solo 4,199.99,4,35-44,Male,Europe,Online,Battery life is outstanding. Wore them all day with no issues.,2024,12,December,199.99,Positive,Positive,0.4215
CUST1011,2023-08-05,Powerbeats Pro,249.99,4,55+,Non-Binary,Asia Pacific,In-Store,Best purchase I've made this year. Bass is deep and clear.,2023,8,August,249.99,Positive,Positive,0.7783
CUST1012,2023-05-27,Beats Flex,49.99,4,35-44,Male,Europe,Apple Store,Seamless connection with my iPhone. Switching devices is effortless.,2023,5,May,49.99,Positive,Neutral,0.0
CUST1013,2024-01-06,Beats Flex,49.99,4,25-34,Male,Middle East,Third-Party Retailer,Fast charging is a game changer. 10 mins gave me 3 hours of playback.,2024,1,January,49.99,Positive,Neutral,0.0
CUST1014,2023-06-06,Beats Studio Pro,349.99,5,25-34,Non-Binary,Latin America,Online,Best purchase I've made this year. Bass is deep and clear.,2023,6,June,349.99,Positive,Positive,0.7783
CUST1015,2024-06-25,Beats Solo 4,199.99,4,35-44,Non-Binary,North America,Online,Seamless connection with my iPhone. Switching devices is effortless.,2024,6,June,199.99,Positive,Neutral,0.0
CUST1016,2024-10-18,Beats Flex,49.99,5,35-44,Male,Asia Pacific,Third-Party Retailer,The fit is perfect and they're super comfortable for long sessions.,2024,10,October,49.99,Positive,Positive,0.9246
CUST1017,2024-05-27,Beats Fit Pro,199.99,4,25-34,Non-Binary,North America,Apple Store,The fit is perfect and they're super comfortable for long sessions.,2024,5,May,199.99,Positive,Positive,0.9246
CUST1018,2023-06-06,Beats Flex,49.99,4,35-44,Male,Middle East,Online,Battery life is outstanding. Wore them all day with no issues.,2023,6,June,49.99,Positive,Positive,0.4215
CUST1019,2023-04-25,Beats Studio Buds+,169.99,4,35-44,Female,Europe,Online,Absolutely love these headphones! The sound quality is incredible.,2023,4,April,169.99,Positive,Positive,0.6989
CUST1020,2023-03-29,Beats Fit Pro,199.99,5,45-54,Male,Middle East,In-Store,Best purchase I've made this year. Bass is deep and clear.,2023,3,March,199.99,Positive,Positive,0.7783
CUST1021,2023-09-29,Beats Fit Pro,199.99,5,55+,Non-Binary,Latin America,In-Store,Premium feel and amazing noise cancellation. Worth every penny.,2023,9,September,199.99,Positive,Positive,0.6908
CUST1022,2024-12-31,Beats Studio Buds+,169.99,5,35-44,Female,Asia Pacific,Third-Party Retailer,Battery life is outstanding. Wore them all day with no issues.,2024,12,December,169.99,Positive,Positive,0.4215
CUST1023,2023-08-19,Beats Studio Buds+,169.99,4,18-24,Female,North America,In-Store,Battery life is outstanding. Wore them all day with no issues.,2023,8,August,169.99,Positive,Positive,0.4215
CUST1024,2024-12-25,Beats Studio Buds+,169.99,3,18-24,Male,North America,Online,Decent headphones for the price. Nothing groundbreaking but solid.,2024,12,December,169.99,Neutral,Negative,-0.1695
CUST1025,2023-10-13,Powerbeats Pro,249.99,2,45-54,Male,Middle East,In-Store,Noise cancellation is underwhelming compared to competitors.,2023,10,October,249.99,Negative,Neutral,0.0
CUST1026,2023-09-06,Beats Flex,49.99,5,45-54,Female,Europe,Online,Seamless connection with my iPhone. Switching devices is effortless.,2023,9,September,49.99,Positive,Neutral,0.0
CUST1027,2024-03-09,Beats Studio Pro,349.99,5,45-54,Female,North America,Online,Incredible sound stage. Music feels alive with these on.,2024,3,March,349.99,Positive,Positive,0.3818
CUST1028,2023-04-22,Beats Studio Pro,349.99,4,25-34,Male,Europe,Third-Party Retailer,Incredible sound stage. Music feels alive with these on.,2023,4,April,349.99,Positive,Positive,0.3818
CUST1029,2024-04-18,Beats Fit Pro,199.99,4,25-34,Male,Latin America,Online,The fit is perfect and they're super comfortable for long sessions.,2024,4,April,199.99,Positive,Positive,0.9246
CUST1030,2023-04-06,Beats Studio Pro,349.99,5,25-34,Male,Latin America,Third-Party Retailer,Absolutely love these headphones! The sound quality is incredible.,2023,4,April,349.99,Positive,Positive,0.6989
CUST1031,2023-03-02,Beats Solo 4,199.99,3,25-34,Female,North America,Third-Party Retailer,Good for everyday use. Not the best for professional audio work.,2023,3,March,199.99,Neutral,Negative,-0.12
CUST1032,2023-10-20,Powerbeats Pro,249.99,5,45-54,Non-Binary,Middle East,Third-Party Retailer,Seamless connection with my iPhone. Switching devices is effortless.,2023,10,October,249.99,Positive,Neutral,0.0
CUST1033,2023-03-01,Beats Fit Pro,199.99,3,55+,Non-Binary,Middle East,Online,Sound is good but I expected a bit more bass at this price point.,2023,3,March,199.99,Neutral,Positive,0.2382
CUST1034,2024-08-21,Beats Flex,49.99,4,45-54,Non-Binary,Middle East,In-Store,Absolutely love these headphones! The sound quality is incredible.,2024,8,August,49.99,Positive,Positive,0.6989
CUST1035,2023-07-10,Beats Studio Pro,349.99,5,18-24,Non-Binary,North America,In-Store,Best purchase I've made this year. Bass is deep and clear.,2023,7,July,349.99,Positive,Positive,0.7783
CUST1036,2023-09-10,Beats Solo 4,199.99,2,55+,Non-Binary,North America,Online,Customer support was unhelpful when I had a problem with my order.,2023,9,September,199.99,Negative,Neutral,0.0
CUST1037,2023-09-25,Beats Solo 4,199.99,5,25-34,Non-Binary,Asia Pacific,In-Store,Incredible sound stage. Music feels alive with these on.,2023,9,September,199.99,Positive,Positive,0.3818
CUST1038,2024-04-13,Powerbeats Pro,249.99,4,35-44,Male,North America,Third-Party Retailer,The fit is perfect and they're super comfortable for long sessions.,2024,4,April,249.99,Positive,Positive,0.9246
CUST1039,2023-03-17,Beats Studio Buds+,169.99,5,55+,Male,Middle East,Apple Store,Best purchase I've made this year. Bass is deep and clear.,2023,3,March,169.99,Positive,Positive,0.7783
CUST1040,2023-09-08,Beats Fit Pro,199.99,5,35-44,Female,Europe,Third-Party Retailer,Best purchase I've made this year. Bass is deep and clear.,2023,9,September,199.99,Positive,Positive,0.7783
CUST1041,2024-11-14,Beats Studio Buds+,169.99,5,55+,Female,North America,In-Store,Absolutely love these headphones! The sound quality is incredible.,2024,11,November,169.99,Positive,Positive,0.6989
