customer_id,purchase_date,product,price_usd,rating,age_group,gender,region,purchase_channel,review,year,month,month_name,revenue,rating_label
CUST1000,2023-10-09,Beats Flex,49.99,2,25-34,Male,Europe,Online,Battery drains faster than advertised. Expected better performance.,2023,10,October,49.99,Negative
CUST1001,2024-08-27,Beats Flex,49.99,5,45-54,Male,North America,Online,Best purchase I've made this year. Bass is deep and clear.,2024,8,August,49.99,Positive
CUST1002,2023-01-28,Beats Fit Pro,199.99,3,55+,Male,Middle East,Third-Party Retailer,Average noise cancellation. Works fine in mild environments.,2023,1,January,199.99,Neutral
CUST1003,2023-01-07,Beats Fit Pro,199.99,4,25-34,Non-Binary,Latin America,Apple Store,The fit is perfect and they're super comfortable for long sessions.,2023,1,January,199.99,Positive
CUST1004,2023-04-15,Powerbeats Pro,249.99,3,18-24,Female,North America,Apple Store,Build quality feels okay. The case could be better designed.,2023,4,April,249.99,Neutral
CUST1005,2024-04-15,Powerbeats Pro,249.99,4,55+,Male,Latin America,Online,Absolutely love these headphones! The sound quality is incredible.,2024,4,April,249.99,Positive
CUST1006,2024-08-14,Beats Studio Buds+,169.99,4,25-34,Non-Binary,North America,Online,Incredible sound stage. Music feels alive with these on.,2024,8,August,169.99,Positive
CUST1007,2023-03-23,Beats Flex,49.99,3,25-34,Male,Latin America,Apple Store,Build quality feels okay. The case could be better designed.,2023,3,March,49.99,Neutral
CUST1008,2023-06-16,Beats Solo 4,199.99,5,35-44,Female,Europe,Apple Store,Incredible sound stage. Music feels alive with these on.,2023,6,June,199.99,Positive
CUST1009,2024-09-15,Beats Flex,49.99,5,25-34,Non-Binary,Europe,In-Store,Best purchase I've made this year. Bass is deep and clear.,2024,9,September,49.99,Positive
CUST1010,2024-12-02,Beats Solo 4,199.99,4,35-44,Male,Europe,Online,Battery life is outstanding. Wore them all day with no issues.,2024,12,December,199.99,Positive
CUST1011,2023-08-05,Powerbeats Pro,249.99,4,55+,Non-Binary,Asia Pacific,In-Store,Best purchase I've made this year. Bass is deep and clear.,2023,8,August,249.99,Positive
